channel,start,end
POL G1,15199,15239
POL G1,25455,25498
POL G1,31125,31138
POL G1,35629,35659
POL G1,38302,38329
POL G1,43081,43102
POL G1,54556,54580
POL G1,55753,55784
POL G1,62265,62283
POL G1,63243,63267
POL G1,65614,65635
POL G1,79630,79652
POL G1,89915,89960
POL G1,97015,97057
POL G1,98388,98463
POL G1,105868,105912
POL G1,107118,107142
POL G1,111637,111679
POL G1,113887,113917
POL G1,115585,115619
POL G1,126642,126701
POL G1,155316,155361
POL G1,156935,156974
POL G1,160556,160577
POL G1,169037,169097
POL G1,172857,172905
POL G1,195243,195283
POL G1,196101,196125
POL G1,196136,196246
POL G1,196419,196472
POL G1,205542,205575
POL G1,210251,210309
POL G1,211286,211326
POL G1,214205,214229
POL G1,226872,226905
POL G1,230218,230233
POL G1,243180,243196
POL G1,245437,245464
POL G1,246928,246978
POL G1,248467,248489
POL G1,252868,252883
POL G1,254030,254055
POL G1,284805,284826
POL G1,284832,284847
POL G1,288808,288846
POL G1,289945,289994
POL G1,291544,291578
POL G1,295882,295920
POL G1,300270,300316
POL G1,301826,301853
POL G1,317182,317211
POL G1,324072,324130
POL G1,340159,340187
POL G1,342005,342050
POL G1,343411,343443
POL G1,357399,357415
POL G1,374752,374810
POL G1,375016,375030
POL G1,385972,385986
POL G1,387048,387107
POL G1,396950,396981
POL G1,414793,414841
POL G1,417350,417404
POL G1,422135,422165
POL G1,422180,422214
POL G1,442275,442335
POL G1,474312,474357
POL G1,478232,478269
POL G1,484264,484308
POL G1,485695,485735
POL G1,488394,488417
POL G1,498842,498884
POL G1,502088,502134
POL G1,504362,504399
POL G1,509523,509583
POL G1,511693,511729
POL G1,513982,514005
POL G1,524569,524582
POL G1,538736,538751
POL G1,543654,543687
POL G1,545515,545565
POL G1,553191,553240
POL G1,554005,554044
POL G1,554050,554069
POL G1,555765,555784
POL G1,564030,564061
POL G1,564883,564926
POL G1,595985,596037
POL G1,600311,600338
POL G1,600343,600385
POL G1,609078,609105
POL G1,614513,614545
POL G1,616287,616309
POL G1,640966,641004
POL G1,651035,651059
POL G1,656464,656496
POL G1,670476,670494
POL G1,673159,673175
POL G1,674130,674175
POL G1,675721,675766
POL G1,708932,708968
POL G1,711394,711437
POL G1,712958,712989
POL G1,724490,724528
POL G1,730679,730737
POL G1,734394,734429
POL G1,741300,741323
POL G1,743561,743581
POL G1,744891,744947
POL G1,752255,752296
POL G1,754456,754506
POL G1,778441,778454
POL G1,778461,778476
POL G1,782270,782289
POL G1,782618,782653
POL G1,792229,792246
POL G1,794908,794923
POL G1,796509,796523
POL G1,800127,800155
POL G1,803381,803409
POL G1,806851,806895
POL G1,808373,808418
POL G1,828781,828810
POL G1,829627,829644
POL G1,831412,831458
POL G1,832479,832496
POL G1,837951,837970
POL G1,840669,840708
POL G1,843989,844024
POL G1,845202,845266
POL G1,860461,860492
POL G1,865196,865221
POL G1,870798,870823
POL G1,878588,878644
POL G1,897904,897959
POL G1,898888,898941
POL G1,906008,906042
POL G1,916588,916618
POL G1,919159,919179
POL G1,921393,921417
POL G1,923363,923411
POL G1,924145,924209
POL G1,942525,942574
POL G1,945297,945329
POL G1,965174,965194
POL G1,971944,971983
POL G1,973105,973124
POL G1,974333,974366
POL G1,974717,974799
POL G1,976518,976535
POL G1,981659,981699
POL G1,982858,982902
POL G1,985474,985523
POL G1,1001655,1001680
POL G1,1007704,1007731
POL G1,1015857,1015912
POL G1,1030819,1030833
POL G1,1035293,1035332
POL G1,1037063,1037115
POL G1,1039496,1039546
POL G1,1041271,1041323
POL G1,1042747,1042788
POL G1,1052855,1052890
POL G1,1058093,1058113
POL G1,1061969,1062005
POL G1,1066436,1066485
POL G1,1079462,1079507
POL G1,1084727,1084774
POL G1,1085039,1085057
POL G1,1085684,1085722
POL G1,1085733,1085765
POL G1,1091687,1091721
POL G1,1102654,1102669
POL G1,1103446,1103468
POL G1,1107553,1107603
POL G1,1120904,1120921
POL G1,1134533,1134584
POL G1,1136577,1136591
POL G1,1139148,1139188
POL G1,1143444,1143463
POL G1,1145839,1145852
POL G1,1145896,1145909
POL G1,1151603,1151627
POL G1,1159701,1159760
POL G1,1161570,1161589
POL G1,1163342,1163402
POL G1,1171907,1171960
POL G1,1184045,1184082
POL G1,1199268,1199293
POL G1,1202194,1202223
POL G1,1210887,1210918
POL G1,1212925,1212943
POL G1,1212958,1212975
POL G1,1213816,1213867
POL G1,1226006,1226055
POL G1,1227903,1227934
POL G1,1231858,1231872
POL G1,1241734,1241760
POL G1,1242819,1242857
POL G1,1243883,1243906
POL G1,1248922,1248977
POL G1,1253041,1253086
POL G1,1276994,1277015
POL G1,1278157,1278211
POL G1,1279119,1279175
POL G1,1282499,1282565
POL G1,1288003,1288047
POL G1,1294112,1294153
POL G1,1297513,1297546
POL G1,1304146,1304163
